Position (m),Bz field (G)
-0.4928000000000001,7.752428627028305
-0.49270000000000014,7.756136117460298
-0.49260000000000015,7.7598459761841845
-0.49250000000000016,7.763558205094374
-0.49240000000000017,7.767272806087096
-0.4923000000000002,7.7709897810604085
-0.4922000000000002,7.77470913191419
-0.4921000000000002,7.778430860550149
-0.4920000000000002,7.7821549688718274
-0.4919000000000002,7.785881458784591
-0.49180000000000024,7.789610332195643
-0.4917,7.79334159101403
-0.49160000000000004,7.797075237150626
-0.49150000000000005,7.800811272518148
-0.49140000000000006,7.804549699031161
-0.49130000000000007,7.808290518606066
-0.4912000000000001,7.812033733161117
-0.4911000000000001,7.8157793446164145
-0.4910000000000001,7.819527354893908
-0.4909000000000001,7.823277765917399
-0.4908000000000001,7.827030579612547
-0.49070000000000014,7.830785797906865
-0.49060000000000015,7.834543422729729
-0.49050000000000016,7.838303456012371
-0.49040000000000017,7.842065899687892
-0.4903000000000002,7.845830755691249
-0.4902000000000002,7.849598025959277
-0.4901000000000002,7.853367712430675
-0.4900000000000002,7.8571398170460105
-0.4899000000000002,7.860914341747732
-0.48980000000000024,7.864691288480158
-0.4897,7.868470659189484
-0.48960000000000004,7.872252455823794
-0.48950000000000005,7.876036680333046
-0.48940000000000006,7.879823334669082
-0.48930000000000007,7.883612420785634
-0.4892000000000001,7.887403940638322
-0.4891000000000001,7.891197896184655
-0.4890000000000001,7.894994289384039
-0.4889000000000001,7.898793122197768
-0.4888000000000001,7.902594396589035
-0.48870000000000013,7.906398114522936
-0.48860000000000015,7.910204277966468
-0.48850000000000016,7.914012888888527
-0.48840000000000017,7.917823949259918
-0.4883000000000002,7.921637461053352
-0.4882000000000002,7.92545342624345
-0.4881000000000002,7.929271846806749
-0.4880000000000002,7.933092724721697
-0.4879000000000002,7.9369160619686525
-0.48780000000000023,7.940741860529908
-0.4877,7.944570122389661
-0.48760000000000003,7.948400849534039
-0.48750000000000004,7.952234043951099
-0.48740000000000006,7.956069707630816
-0.48730000000000007,7.959907842565096
-0.4872000000000001,7.963748450747784
-0.4871000000000001,7.967591534174654
-0.4870000000000001,7.9714370948434174
